oyun_adi,oyun_turu,gelistirici,puan,turkce_destegi,fiyat,yas,dil,ingilizce_destegi,dil_sayisi,platform
Wallpaper Engine,"Yetişkinler İçin, Yardımcı Uygulamalar, Anime, Yazılım, Tasarım ve İllüstrasyon, Animasyon ve Modelleme, Birinci Şahıs, NSFW, Bağımsız, Sevimli, Meme'ler, Aksiyon, Tek Oyunculu, Komik, Erken Erişim, Fotoğraf Düzenleme, Sandbox, Oyun, Korku, Oyun Geliştirme",Wallpaper Engine Team,97.0,1,2.99,0,"Türkçe, İngilizce, Almanca, BasitleştirilmişÇince, Lehçe, BrezilyaPortekizcesi, Fransızca, İtalyanca, Kastilyaİspanyolcası, Fince, Japonca, Korece, İsveççe, Tayca, GelenekselÇince, Portekizce-Portekiz, Rusça, Danca, Çekçe, Arapça, Ukraynaca, Endonezce, Farsça",1,22.0,Steam
SnowRunner,"Simülasyon, Otomobil Simülasyonu, Çok Oyunculu, Macera, Araç Kullanma, Keşif, Gerçekçi, Açık Dünya, Sandbox, Birinci Şahıs, Üçüncü Şahıs, Atmosferik, Kar, Sürükleyici Simülasyon, Yarış, Fizik Tabanlı, Doğa, ATV, Takım Tabanlı, PvE",Saber Interactive,89.0,0,125.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Enshrouded,"Açık Dünya, Hayatta Kalma, Üs İnşa Etme, Çok Oyunculu, Çevrimiçi Eşli Oyun, Üretim, RYO, Macera, Keşif, İnşa Etme, Aksiyon RYO, Tek Oyunculu, Fantezi, Sandbox, Karakter Kişiselleştirme, Erken Erişim, PvE, Aksiyon, 3D, Bağımsız",Keen Games GmbH,81.0,1,3.19,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca, Tayca",1,14.0,Steam
Slay the Spire,"Roguelike Deste Oluşturma, Kart Oyunu, Kartlı Savaş, Rogue-like, Deste Oluşturma, Sıra Tabanlı, Strateji, Tek Oyunculu, Rogue-lite, Tekrar Oynanabilir, Bağımsız, Zor, Dungeon Crawler, Sadece Fare, RYO, 2D, Fantezi, Prosedürel Oluşturma, Harika Müzik, Basit Eğlence",Mega Crit,95.0,1,1.49,0,"Türkçe, İngilizce, BasitleştirilmişÇince, Fransızca, Almanca, Korece, Rusça, Japonca, Lehçe, Ukraynaca, Kastilyaİspanyolcası, İtalyanca, Felemenkçe, GelenekselÇince, Tayca, BrezilyaPortekizcesi, Vietnamca",1,16.0,Steam
Dune: Awakening,"Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Macera, Açık Dünya, RYO, Çok Oyunculu, PvP, Üs İnşa Etme, Keşif, PvE, Bilim Kurgu, İnşa Etme, Sandbox, Karakter Kişiselleştirme, Aksiyon, Çevrimiçi Eşli Oyun, Üçüncü Şahıs, Üretim, Devasa Çok Oyunculu, Zengin Evren",Funcom,62.0,1,34.77,16,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca",1,13.0,Steam
The Quinfall,"Devasa Çok Oyunculu, Devasa Çok Oyunculu RYO, Açık Dünya, RYO, Karakter Kişiselleştirme, Orta Çağ, Çok Oyunculu, Macera, Aksiyon RYO, PvP, PvE, Avlanma, Aşçılık, İnşa Etme, Balıkçılık, Üretim, Madencilik, Denizcilik, Tarım, Sihir",Vawraek Technology Inc.,71.0,1,3.19,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Rusça, Japonca, BrezilyaPortekizcesi, Lehçe, Ukraynaca, Korece, BasitleştirilmişÇince",1,12.0,Steam
Satisfactory,"Üs İnşa Etme, Otomasyon, Açık Dünya, Çok Oyunculu, Üretim, Eşli, İnşa Etme, Kaynak Yönetimi, Sandbox, Keşif, Macera, Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Birinci Şahıs, Simülasyon, Strateji, Tek Oyunculu, Bilim Kurgu, Bağımsız, Erken Erişim",Coffee Stain Studios,96.0,0,3.14,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca",1,13.0,Steam
Assassin’s Creed Shadows,"Aksiyon, Macera, Açık Dünya, Kadın Karakter, Ninja, Gizlilik, Suikastçı, Çatışma, 3D, Tek Oyunculu, RYO, Aksiyon Macera, Kılıçlı Dövüş, Aksiyon RYO, Üçüncü Şahıs, Parkur, Şiddet, Keşif, Zengin Hikâye, Sinematik","Ubisoft Quebec, Ubisoft Belgrade, Ubisoft Bordeaux, Ubisoft Bucharest & Craiova, Ubisoft Chengdu, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Osaka, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia, Ubisoft Ukraine",65.0,0,55.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Lehçe",1,13.0,Steam
ICARUS,"Hayatta Kalma, Açık Dünya Hayatta Kalma İnşa, Çok Oyunculu, Üs İnşa Etme, Çevrimiçi Eşli Oyun, Üretim, Açık Dünya, Keşif, İnşa Etme, Eşli, PvE, Birinci Şahıs, Uzay, Gerçekçi, Sandbox, Madencilik, Üçüncü Şahıs, Macera, Doğa, Bilim",RocketWerkz,77.0,0,111.92,0,"Türkçe, İngilizce, Fransızca, Almanca, BrezilyaPortekizcesi, Rusça, LatinAmerikaİspanyolcası, Japonca, Korece, BasitleştirilmişÇince, GelenekselÇince",1,10.0,Steam
Quarantine Zone: The Last Check,"Zombi, Simülasyon, Tek Oyunculu, Kıyamet Sonrası, Önemli Seçimler, Birinci Şahıs, Gerçekçi, 3D, Askerî, Atmosferik, Kaynak Yönetimi, Yönetim, Kara Mizah, Sürükleyici Simülasyon, Üs İnşa Etme, Amerika, Yaşam Simülatörü, Dram, İnşa Etme, Duygusal",Brigada Games,84.0,1,9.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Ukraynaca",1,13.0,Steam
Mortal Kombat 11,"Dövüş, Vahşet, Çok Oyunculu, Şiddet, Kan, Aksiyon, 2D Dövüş, Yetişkinler İçin, Yerel Çok Oyunculu, Rekabetçi, Tek Oyunculu, Karakter Kişiselleştirme, Zengin Hikâye, Atmosferik, Harika Müzik, Sevimli, Cinsel İçerik, Arcade, 2.5D, Korku","NetherRealm Studios, QLOC, Shiver",89.0,0,49.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince",1,12.0,Steam
HITMAN World of Assassination,"Gizlilik, Suikastçı, VR, Aksiyon, Tek Oyunculu, Sandbox, Çok Oyunculu, Şiddet, Nişancı, Üçüncü Şahıs, TPS, Gerçekçi, Açık Dünya, Bulmaca, Macera, Sinematik, Vahşet, Sürükleyici Simülasyon, Komik, Kapitalizm",IO Interactive A/S,89.0,0,14.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,9.0,Steam
Victoria 3,"Büyük Strateji, Ekonomi, Tarihsel, Siyaset Simülatörü, Strateji, Kapitalizm, Politika, Diplomasi, Yönetim, Simülasyon, Alternatif Tarih, Modlanabilir, Politik, Kaynak Yönetimi, Durdurulabilir Gerçek Zamanlı, Sandbox, Çok Oyunculu, Tek Oyunculu, Tekrar Oynanabilir, Askerî",Paradox Development Studio,78.0,1,58.0,12,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince",1,10.0,Steam
Far Cry® Primal,"Açık Dünya, Hayatta Kalma, Aksiyon, Avlanma, Macera, Birinci Şahıs, Tek Oyunculu, Açık Dünya Hayatta Kalma İnşa, Üretim, Keşif, FPS, Gizlilik, Atmosferik, Yetişkinler İçin, Nişancı, RYO, Aksiyon RYO, Cinsel İçerik, Strateji, Çevrimiçi Eşli Oyun",Ubisoft,86.0,0,23.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Felemenkçe, Fince, Japonca, Korece, Norveççe, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, İsveççe, GelenekselÇince, Danca, LatinAmerikaİspanyolcası",1,19.0,Steam
Medieval Dynasty,"İnşa Etme, Üretim, Çok Oyunculu, Orta Çağ, Eşli, Hayatta Kalma, Açık Dünya, Üs İnşa Etme, Sandbox, Sürükleyici Simülasyon, RYO, Tek Oyunculu, Simülasyon, Atmosferik, Gerçekçi, Yönetim, Macera, Birinci Şahıs, Tarihsel, Tarım",Render Cube,86.0,1,24.74,0,"Türkçe, İngilizce, Almanca, Kastilyaİspanyolcası, Lehçe, Fransızca, BrezilyaPortekizcesi, Japonca, Portekizce-Portekiz, Rusça, Çekçe, Ukraynaca, İtalyanca, BasitleştirilmişÇince, Felemenkçe, İsveççe, Korece, Macarca",1,17.0,Steam
Dead Cells,"Macera, Metroidvania, Aksiyon Roguelike, Piksel Grafikler, Rogue-like, 2D, Souls-like, Rogue-lite, Zor, Hack and Slash, Tekrar Oynanabilir, Platform, Tek Oyunculu, Roguevania, Aksiyon, Karanlık Fantezi, Atmosferik, Prosedürel Oluşturma, Komik, Bağımsız",Motion Twin,95.0,1,12.49,16,"Türkçe, İngilizce, Fransızca, BasitleştirilmişÇince, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Portekizce-Portekiz, Rusça, Korece, GelenekselÇince, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası, Lehçe",1,14.0,Steam
Bodycam,"Erken Erişim, Gerçekçi, FPS, Nişancı, Askerî, Eşli, VR, Çok Oyunculu, Korku, Zombi, Taktiksel, Birinci Şahıs, Aksiyon, Takım Tabanlı, PvP, Fizik Tabanlı, Sürükleyici Simülasyon, Çatışma, Açık Dünya, Savaş Oyunu",Reissad Studio,80.0,0,17.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Japonca, Korece, Rusça, BasitleştirilmişÇince",1,10.0,Steam
Esoteric Ebb,"Zengin Hikâye, RYO, Önemli Seçimler, İzometrik, Dungeons & Dragons, İnteraktif Kurgu, CRPG, Tek Oyunculu, Elle Çizilmiş, Lineer Olmayan, Politik, Hikâye Tarzında, Macera, Atmosferik, Point & Click, Keşif, Komik, Masa Oyunları, Sıra Tabanlı, Karakter Kişiselleştirme",Christoffer Bodegård,,0,3.59,0,"Türkçe, İngilizce",1,1.0,Steam
The Riftbreaker,"Üs İnşa Etme, Çevrimiçi Eşli Oyun, Çok Oyunculu, Kule Savunması, Hayatta Kalma, Aksiyon RYO, Hack and Slash, Keşif, Sandbox, İnşa Etme, Üretim, İzometrik, Tek Oyunculu, GZS, Ekonomi, Strateji, Prosedürel Oluşturma, Stratejik RYO, Eşli Ana Görev, Kaynak Yönetimi",EXOR Studios,87.0,0,11.56,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, Rusça, BasitleştirilmişÇince, BrezilyaPortekizcesi",1,10.0,Steam
Truck & Logistics Simulator,"Simülasyon, Otomobil Simülasyonu, Çok Oyunculu, Açık Dünya, Gerçekçi, Basit Eğlence, Araç Kullanma, Yönetim, Ekonomi, Tek Oyunculu, Rahatlatıcı, Eşli, Birinci Şahıs, Modlanabilir, Sandbox, Keşif, Fizik Tabanlı, Bağımsız, Atmosferik, Erken Erişim",Simula Games,57.0,1,4.99,0,"Türkçe, İngilizce, Almanca, Fransızca, İtalyanca, Kastilyaİspanyolcası, Arapça, Japonca, Lehçe, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince, Macarca, Rumence, Korece, BrezilyaPortekizcesi",1,15.0,Steam
Lightyear Frontier,"Erken Erişim, Mech'ler, Üretim, Açık Dünya Hayatta Kalma İnşa, Üs İnşa Etme, Çiftçilik Simülatörü, Çevrimiçi Eşli Oyun, Kaynak Yönetimi, Tarım, Keşif, Rahatlatıcı, Tek Oyunculu, Sandbox, Eşli, Birinci Şahıs, Açık Dünya, Yönetim, Atmosferik, Hayatta Kalma, Bilim Kurgu",FRAME BREAK,81.0,0,2.68,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,12.0,Steam
Tainted Grail: The Fall of Avalon,"Macera, Açık Dünya, RYO, Karanlık Fantezi, Birinci Şahıs, Üçüncü Şahıs, Karakter Kişiselleştirme, Keşif, Tek Oyunculu, Aksiyon RYO, Önemli Seçimler, Zengin Hikâye, Aksiyon, Lineer Olmayan, Sürükleyici, Hayatta Kalma - Korku, Hikâye Tarzında, Sürükleyici Simülasyon, Birden Fazla Son, FPS",Questline,84.0,0,11.02,0,"Türkçe, İngilizce, Lehçe, Fransızca, Almanca, GelenekselÇince, BasitleştirilmişÇince, İtalyanca, Kastilyaİspanyolcası, Çekçe, Japonca, BrezilyaPortekizcesi, Rusça",1,12.0,Steam
Microsoft Flight Simulator (2020) 40th Anniversary Edition,"Simülasyon, Uçuş, Gerçekçi, Çok Oyunculu, Açık Dünya, VR, Tek Oyunculu, Gerçek Zamanlı, Atmosferik, Fizik Tabanlı, Macera, Renkli, Aile Dostu, Güzel, TrackIR, Gerçeküstü, Kontrolcü, Epik, Kısa, Psikolojik Korku",Asobo Studio,66.0,0,59.99,3,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, Felemenkçe, Fince, Japonca, Norveççe, İsveççe",1,13.0,Steam
Deep Rock Galactic,"Cüce, Eşli, PvE, FPS, Prosedürel Oluşturma, Sınıf Tabanlı, Nişancı, Keşif, Birinci Şahıs, Ganimet, Bilim Kurgu, Aksiyon, Uzay, Atmosferik, Looter Shooter, Çatışma, Hayatta Kalma, Korku, Karanlık, Aksiyon Roguelike",Ghost Ship Games,94.0,1,27.64,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca, İtalyanca, Japonca, Korece, LatinAmerikaİspanyolcası, Macarca, Rumence",1,16.0,Steam
Far Cry® 5,"Açık Dünya, Aksiyon Macera, Eşli, Çok Oyunculu, FPS, Nişancı, Keşif, Zengin Hikâye, Birinci Şahıs, Gerçekçi, Amerika, Gizlilik, Aksiyon, Avlanma, Macera, 3D, Hayatta Kalma, Doğa, Atmosferik, Psikedelik","Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",82.0,0,47.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Çekçe, Felemenkçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,15.0,Steam
Human Fall Flat,"Eşli, Komik, Bulmaca, Macera, Çok Oyunculu, Fizik Tabanlı, Sandbox, Bulmaca Platform, Aksiyon, Açık Dünya, Yerel Eşli Oyun, Bağımsız, Yerel Çok Oyunculu, Komedi, Parkur, Basit Eğlence, Bölünmüş Ekran, Tek Oyunculu, 3D Platform, Simülasyon",No Brakes Games,93.0,1,1.49,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Rusça, İtalyanca, BasitleştirilmişÇince, Japonca, Korece, Lehçe, Portekizce-Portekiz, BrezilyaPortekizcesi, Tayca, Ukraynaca, GelenekselÇince",1,15.0,Steam
Far Cry® 6,"Açık Dünya, FPS, Çevrimiçi Eşli Oyun, Çok Oyunculu, Aksiyon, Macera, Eşli, Tek Oyunculu, Nişancı, Keşif, Aksiyon Macera, Kadın Karakter, Çatışma, 3D, Birinci Şahıs, PvE, Atmosferik, Üretim, Modern, Sandbox","Ubisoft Toronto, Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Berlin",70.0,0,47.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Tayca, GelenekselÇince",1,14.0,Steam
Car Mechanic Simulator 2021,"Simülasyon, Otomobil Simülasyonu, Sandbox, Gerçekçi, Modlanabilir, Araç Kullanma, Yarış, Tek Oyunculu, 3D, Eğitici, Birinci Şahıs, Bulmaca, Sürükleyici Simülasyon, Eşli, Açık Dünya, Atmosferik, Macera, Mini Oyun, VR, Bağımsız",Red Dot Games,92.0,1,0.0,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, Japonca, Lehçe, Portekizce-Portekiz, BrezilyaPortekizcesi, Rusça, Korece, Çekçe, Rumence, Arapça, Macarca",1,16.0,Steam
Batman™: Arkham Knight,"Aksiyon, Açık Dünya, Süper Kahraman, Gizlilik, Üçüncü Şahıs, Tek Oyunculu, Macera, Dedektif, Zengin Hikâye, Dövüş, Atmosferik, Karanlık, Çizgi Roman, Beat 'em up, Yetişkinler İçin, Bulmaca, Korku, Sandbox, Strateji, Epik",Rocksteady Studios,95.0,0,31.91,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Korece, BrezilyaPortekizcesi, Lehçe, Rusça, Japonca",1,10.0,Steam
Over The Top: WWI,"Çok Oyunculu, Aksiyon, 1. Dünya Savaşı, TPS, FPS, Nişancı, Tarihsel, Simülasyon, 3D, Sinematik, Üçüncü Şahıs, Gerçekçi, Yıkım, Taktiksel, Savaş, PvP, Takım Tabanlı, PvE, Tek Oyunculu, Birinci Şahıs",Flying Squirrel Entertainment,,1,6.48,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Rusça, BasitleştirilmişÇince, GelenekselÇince, Japonca, Portekizce-Portekiz, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası, Korece, Lehçe, Endonezce, Tayca, Ukraynaca",1,17.0,Steam
Manor Lords,"Strateji, Şehir Kurma, Simülasyon, Üs İnşa Etme, Büyük Strateji, Tarihsel, Koloni Simülatörü, Sandbox, Yönetim, İnşa Etme, Kaynak Yönetimi, Ekonomi, Açık Dünya, Tek Oyunculu, Hayatta Kalma, Modlanabilir, 4X, Diplomasi, Tekrar Oynanabilir, Erken Erişim",Slavic Magic,78.0,1,12.99,16,"Türkçe, İngilizce, Almanca, Lehçe, BasitleştirilmişÇince, Fransızca, Japonca, Kastilyaİspanyolcası, Korece, BrezilyaPortekizcesi, Rusça, GelenekselÇince, İtalyanca, Çekçe, Danca, Felemenkçe, Macarca, İsveççe, Ukraynaca",1,18.0,Steam
Assassin's Creed Valhalla,"Açık Dünya, Aksiyon, RYO, Macera, Vikingler, Tek Oyunculu, Çok Oyunculu, Üçüncü Şahıs, Aksiyon Macera, Gizlilik, Şiddet, Suikastçı, Zengin Hikâye, Aksiyon RYO, Tarihsel, Kadın Karakter, Orta Çağ, Atmosferik, Mitoloji, Karakter Kişiselleştirme",Ubisoft Montreal,68.0,0,47.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, BasitleştirilmişÇince, GelenekselÇince, Korece, LatinAmerikaİspanyolcası, Japonca, Lehçe, BrezilyaPortekizcesi, Rusça",1,14.0,Steam
Anno 117: Pax Romana,"Strateji, Simülasyon, Şehir Kurma, Sandbox, GZS, İnşa Etme, Ekonomi, Kendi Maceranı Seç, Keşif, Tarihsel, Yönetim, Politik, Kaynak Yönetimi, Önemli Seçimler, Çok Oyunculu, Tek Oyunculu, Yapay Zekâ, Roma, Zengin Hikâye, Çevrimiçi Eşli Oyun",Ubisoft Mainz,55.0,0,47.99,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,12.0,Steam
The Lord of the Rings: Return to Moria™,"Üs İnşa Etme, Açık Dünya Hayatta Kalma İnşa, Cüce, Hayatta Kalma, Keşif, Çevrimiçi Eşli Oyun, Üretim, İnşa Etme, Macera, Çok Oyunculu, Aksiyon Macera, Açık Dünya, PvE, Sandbox, RYO, Aksiyon, Karakter Kişiselleştirme, Üçüncü Şahıs, Tek Oyunculu, Fantezi",Free Range Games,73.0,0,17.44,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, BrezilyaPortekizcesi, BasitleştirilmişÇince",1,9.0,Steam
