veli_cinsiyet,veli_yas,cocuk_cinsiyet,cocuk_yas,cocuk_cihaz,veli_ebeveyn_denetimi,cocuk_oyun_turu,cocuk_gunluk_sure,veli_izin_verilen_harcama,veli_harcama_guven_etkisi,cocuk_kapatma_tepkisi,cocuk_stres_gozlemi,cocuk_uyku_gozlemi,cocuk_ruh_hali_gozlemi,veli_pegi_kontrol,veli_platform_kisitlama_gorus,cocuk_haftalik_oyun_gunu,veli_ebeveyn_onay_gorus,ebeveyn_ilgi_skoru_100
Kadın,18-22,Kız,6-9,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylendiği an sorunsuz kapatır.,"Sadece oynadığı sürece keyiflidir, kafası dağılır.",Nadiren (Ayda 1-2 kez),"Sadece anlık olarak canı sıkılır, çabuk geçer.",PEGI nedir bilmiyorum,Kesinlikle destekliyorum,Bazen (Haftada 1-2 kez),Kararsızım,65.0
Kadın,36-45,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Oyun esnasında kendini kaptırıp zaman zaman gerilebiliyor,Sıklıkla (Haftada birkaç kez),Çevresine tahammülsüz veya gergin olur.,Hayır kontrol etmiyorum,Kesinlikle destekliyorum,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum,80.0
Kadın,46-55,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Neredeyse her gün,"Sadece anlık olarak canı sıkılır, çabuk geçer.",Hayır kontrol etmiyorum,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,80.0
Erkek,46-55,Erkek,5 yaş ve altı,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",3-5 saat,Hiç harcama yapmaz,İlgilenmiyorum / Bilmiyorum,"Kapatmamak için tartışır, sinirlenir, sesini yükseltir.","Sadece oynadığı sürece keyiflidir, kafası dağılır.",Sıklıkla (Haftada birkaç kez),Çevresine tahammülsüz veya gergin olur.,Bazen,Kararsızım,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum,57.5
Erkek,46-55,Erkek,6-9,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,250 TL'den az,Bazen limitini aşar ama bütçemizi sarsmaz.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.","Sadece oynadığı sürece keyiflidir, kafası dağılır.",Bazen (Haftada 1-2 kez),"Sadece anlık olarak canı sıkılır, çabuk geçer.",Evet her zaman,Kararsızım,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum,87.5
Kadın,46-55,Kız,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)",Nasıl yapılacağını biliyorum ama uygulamıyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,"Sadece anlık olarak canı sıkılır, çabuk geçer.",PEGI nedir bilmiyorum,Destekliyorum,Nadiren (Ayda 1-2 kez),Kesinlikle destekliyorum,58.75
Kadın,36-45,Erkek,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,250 TL'den az,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Nadiren (Ayda 1-2 kez),"Sadece anlık olarak canı sıkılır, çabuk geçer.",Evet her zaman,Kesinlikle destekliyorum,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum,100.0
Kadın,36-45,Erkek,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,"Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"Öfke krizine girer, ağlar, gün boyu hırçın davranır.",Oynamadığı zamanlarda canı çabuk sıkılır veya gergin/huzursuz olur,Hiçbir zaman,Çevresine tahammülsüz veya gergin olur.,Evet her zaman,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Destekliyorum,73.75
Erkek,18-22,Erkek,6-9,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",3-5 saat,250 TL'den az,"Bütçemizi zorlar, sürekli uyarmam gerekir.","Kapatmamak için tartışır, sinirlenir, sesini yükseltir.",Oyun esnasında kendini kaptırıp zaman zaman gerilebiliyor,Nadiren (Ayda 1-2 kez),Öfke patlamaları veya agresiflik yaşar.,Hayır kontrol etmiyorum,Desteklemiyorum,Bazen (Haftada 1-2 kez),Desteklemiyorum,42.5
Erkek,36-45,Erkek,14-17,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)",Nasıl yapılacağını biliyorum ama uygulamıyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",5 saatten fazla,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,Hemen normal hayatına döner.,Bazen,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Destekliyorum,71.25
Kadın,29-35,Erkek,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,"Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylenerek/itiraz ederek isteksizce kapatır.,"Sadece oynadığı sürece keyiflidir, kafası dağılır.",Bazen (Haftada 1-2 kez),"Sadece anlık olarak canı sıkılır, çabuk geçer.",PEGI nedir bilmiyorum,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,57.5
Kadın,18-22,Kız,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,Bilmiyorum,Bilmiyorum,Hiç harcama yapmaz,İlgilenmiyorum / Bilmiyorum,Söylendiği an sorunsuz kapatır.,Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,Hemen normal hayatına döner.,PEGI nedir bilmiyorum,Destekliyorum,Hiçbir zaman,Destekliyorum,45.0
